DATE,SID.TIME,SUN,SUN_P,MOON,MOON_P,MERCURY,MERCURY_P,VENUS,VENUS_P,MARS,MARS_P,JUPITER,JUPITER_P,SATURN,SATURN_P,URANUS,URANUS_P,NEPTUNE,NEPTUNE_P,PLUTO,PLUTO_P,NODE,NODE_P
02/20/2019,9:58:34,01 03,Meena,05 51,Kanya,16 45,Meena,18 35,Makara,03 45,Vrushabha,20 44,Dhanush,16 55,Makara,29 25,Mesha,15 36,Meena,22 12,Makara,24 55,CN
02/21/2019,10:02:31,02 03,Meena,21 03,Kanya,18 20,Meena,19 45,Makara,04 25,Vrushabha,20 52,Dhanush,17 01,Makara,29 27,Mesha,15 38,Meena,22 14,Makara,24 52,CN
02/22/2019,10:06:27,03 04,Meena,05 60,Tula,19 51,Meena,20 55,Makara,05 06,Vrushabha,20 60,Dhanush,17 07,Makara,29 30,Mesha,15 40,Meena,22 15,Makara,24 49,CN
02/23/2019,10:10:24,04 04,Meena,20 34,Tula,21 18,Meena,22 06,Makara,05 46,Vrushabha,21 08,Dhanush,17 12,Makara,29 32,Mesha,15 43,Meena,22 17,Makara,24 46,CN
02/24/2019,10:14:21,05 04,Meena,04 40,Vruschika,22 40,Meena,23 16,Makara,06 26,Vrushabha,21 16,Dhanush,17 18,Makara,29 34,Mesha,15 45,Meena,22 19,Makara,24 42,CN
02/25/2019,10:18:17,06 05,Meena,18 17,Vruschika,23 57,Meena,24 27,Makara,07 07,Vrushabha,21 23,Dhanush,17 23,Makara,29 36,Mesha,15 47,Meena,22 20,Makara,24 39,CN
02/26/2019,10:22:14,07 05,Meena,01 26,Dhanush,25 07,Meena,25 38,Makara,07 47,Vrushabha,21 31,Dhanush,17 29,Makara,29 39,Mesha,15 49,Meena,22 22,Makara,24 36,CN
02/27/2019,10:26:10,08 06,Meena,14 09,Dhanush,26 10,Meena,26 49,Makara,08 28,Vrushabha,21 38,Dhanush,17 34,Makara,29 41,Mesha,15 52,Meena,22 23,Makara,24 33,CN
02/28/2019,10:30:07,09 06,Meena,26 32,Dhanush,27 06,Meena,27 59,Makara,09 08,Vrushabha,21 45,Dhanush,17 39,Makara,29 44,Mesha,15 54,Meena,22 25,Makara,24 30,CN
03/01/2019,10:34:03,10 06,Meena,08 39,Makara,27 54,Meena,29 10,Makara,09 48,Vrushabha,21 52,Dhanush,17 44,Makara,29 46,Mesha,15 56,Meena,22 26,Makara,24 27,CN
03/02/2019,10:38:00,11 06,Meena,20 35,Makara,28 33,Meena,00 21,Kumbha,10 29,Vrushabha,21 59,Dhanush,17 50,Makara,29 49,Mesha,15 58,Meena,22 28,Makara,24 23,CN
03/03/2019,10:41:56,12 07,Meena,02 24,Kumbha,29 03,Meena,01 32,Kumbha,11 09,Vrushabha,22 06,Dhanush,17 55,Makara,29 51,Mesha,16 01,Meena,22 29,Makara,24 20,CN
03/04/2019,10:45:53,13 07,Meena,14 10,Kumbha,29 24,Meena,02 44,Kumbha,11 49,Vrushabha,22 13,Dhanush,17 60,Makara,29 54,Mesha,16 03,Meena,22 31,Makara,24 17,CN
